id_espacio,nombre_espacio,ciudad,direccion,aforo,nota,telefono_contacto,nombre_contacto,email_contacto
ESP0001,San Mamés,Bilbao,"Rafael Moreno Pitxitxi, Puerta 20",5530,Restaurante; cafetería; parada de metro/tranvía,946854180,Iker Callejo,i.callejo@athletic-club.eus
ESP0002,Reale Arena,Donostia / San Sebastián,Anoeta Pasealekua 1,4348,Parking 350; restaurante; cafetería; wifi; accesibilidad completa,688693466,Markel Guevara,markel.guevara@realsociedad.eus
ESP0003,Fernando Buesa Arena,Vitoria-Gasteiz,"Portal de Zurbano, 30",15544,Parking 2700; accesibilidad física,659771222,Ernesto Cortaberria,ecortaberria@bkndagroup.com
ESP0004,Iradier Arena,Vitoria-Gasteiz,"Plaza del Renacimiento, 6",10625,Parking 700; accesibilidad física,945161616,,iradiarena@vitoria-gasteiz.org
ESP0005,Estadio Ipurua,Eibar,"Calle Ipurua, 2",275,Parking 15; restaurante; cafetería; wifi; accesibilidad física,687958950,Ainara López de Viñaspre,Ainara.lopezdevinaspre@sdeibar.com
ESP0006,Bilbao Exhibition Centre,Barakaldo,Ronda de Azkue 1,38910,Parking 4000; parada Ansio; restaurante; cafetería; wifi; accesibilidad física,944040068,Marta Campos,mcampos@bec.eu
ESP0007,Bizkaia Aretoa – UPV/EHU,Bilbao,"Abandoibarra Etorbidea, 3",1836,Parada Guggenheim; wifi; cafetería; accesibilidad física,946018100,Ione Arana,bizkaia-aretoa@ehu.eus
ESP0008,Palacio Euskalduna Jauregia,Bilbao,"Avenida Abandoibarra, 4",8652,Parking 475; restaurante; cafetería; wifi; parada Euskalduna; accesibilidad física,944035000,Begoña Anguisola,banguisola@euskalduna.eus
ESP0009,Kursaal,Donostia / San Sebastián,"Av. de Zurriola, 1",7134,Parking 300; restaurante; wifi; parada Zurriola Kursaal; accesibilidad completa,943003000,Mikel Usandizaga,musandizaga@kursaal.eus
ESP0010,Palacio de Congresos Europa,Vitoria-Gasteiz,"Avenida Gasteiz, 85",5314,"Parking; wifi; parada Europa; accesibilidad física, psíquica, visual y orgánica",945161520,Javier Estebaranz,congrestur@vitoria-gasteiz.org
ESP0011,Recinto Ferial FICOBA,Irun,"Avenida Iparralde, 43",29297,Parking 1000; restaurante; cafetería; wifi; parada metro/tranvía visible sin texto; accesibilidad física,943667788,Ane Miren Axpe,a.axpe@ficoba.org
ESP0012,Espacio Nuka,Bilbao,"Calle Costa, 3",100,Wifi; parada Indautxu; accesibilidad física,620827526,Virginia Pérez,nuka@espacionuka.com
ESP0013,Yimby Sota,Bilbao,"Don Diego López, 45",180,Wifi; accesibilidad completa,600478918,Naiara Hurtado,naiara@yimbybilbao.com
ESP0015,Talent House,Donostia / San Sebastián,"Paseo Duque de Baena, 42",374,Parking 14; wifi; vistas panorámicas; accesibilidad completa,943483483,Ane Oliván,ane_olivan@donostia.eus
ESP0016,Mi Castillo de Arena,Zurbano,"Barrio del Medio, 7",310,Parking; jardín exterior; patio de piedra; posibilidad de instalar carpas,696208067,Ania Verastegui Murga,info@micastillodearena.es
